Period,PeriodWeight,EventId,Year,Month,Day,Hour,Minute,SummaryId,SampleType,ChanceOfLoss,MeanLoss,SDLoss,MaxLoss,FootprintExposure,MeanImpactedExposure,MaxImpactedExposure
1,0.001000,1,1,1,1,0,0,1,1,0.0000,22616.00,0.00,220000.00,220000.00,220000.00,220000.00
1,0.001000,1,1,1,1,0,0,1,2,0.6000,11976.43,18143.38,220000.00,220000.00,132000.00,220000.00
1,0.001000,1,1,1,1,0,0,2,1,0.0000,16448.00,0.00,160000.00,160000.00,160000.00,160000.00
1,0.001000,1,1,1,1,0,0,2,2,0.5000,13053.40,18767.42,160000.00,160000.00,80000.00,160000.00
1,0.001000,1,1,1,1,0,0,3,1,0.0000,71960.00,0.00,700000.00,700000.00,700000.00,700000.00
1,0.001000,1,1,1,1,0,0,3,2,0.6000,48528.77,49206.41,700000.00,700000.00,420000.00,700000.00
1,0.001000,1,1,1,1,0,0,4,1,0.0000,43176.00,0.00,420000.00,420000.00,420000.00,420000.00
1,0.001000,1,1,1,1,0,0,4,2,0.5000,49177.20,71223.85,420000.00,420000.00,210000.00,420000.00
1,0.001000,1,1,1,1,0,0,5,1,0.0000,44204.00,0.00,430000.00,430000.00,430000.00,430000.00
1,0.001000,1,1,1,1,0,0,5,2,0.6000,58827.35,81276.09,430000.00,430000.00,258000.00,430000.00
2,0.001000,2,2,1,1,0,0,1,1,0.0000,86152.00,0.00,220000.00,220000.00,220000.00,220000.00
2,0.001000,2,2,1,1,0,0,1,2,0.9000,87044.85,78939.45,220000.00,220000.00,198000.00,220000.00
2,0.001000,2,2,1,1,0,0,2,1,0.0000,62656.00,0.00,160000.00,160000.00,160000.00,160000.00
2,0.001000,2,2,1,1,0,0,2,2,1.0000,65702.77,47901.85,160000.00,160000.00,160000.00,160000.00
2,0.001000,2,2,1,1,0,0,3,1,0.0000,274120.00,0.00,700000.00,700000.00,700000.00,700000.00
2,0.001000,2,2,1,1,0,0,3,2,1.0000,255772.47,159240.11,700000.00,700000.00,700000.00,700000.00
2,0.001000,2,2,1,1,0,0,4,1,0.0000,164472.00,0.00,420000.00,420000.00,420000.00,420000.00
