Period,PeriodWeight,EventId,Year,Month,Day,Hour,Minute,SummaryId,Quantile,Loss
1,0.001000,1,1,1,1,0,0,1,0.00,0.00
1,0.001000,1,1,1,1,0,0,1,0.20,0.00
1,0.001000,1,1,1,1,0,0,1,0.40,1689.49
1,0.001000,1,1,1,1,0,0,1,0.50,3831.36
1,0.001000,1,1,1,1,0,0,1,0.75,16123.20
1,0.001000,1,1,1,1,0,0,1,1.00,56116.76
1,0.001000,1,1,1,1,0,0,2,0.00,0.00
1,0.001000,1,1,1,1,0,0,2,0.20,0.00
1,0.001000,1,1,1,1,0,0,2,0.40,0.00
1,0.001000,1,1,1,1,0,0,2,0.50,6837.66
1,0.001000,1,1,1,1,0,0,2,0.75,19221.19
1,0.001000,1,1,1,1,0,0,2,1.00,59937.60
1,0.001000,1,1,1,1,0,0,3,0.00,0.00
1,0.001000,1,1,1,1,0,0,3,0.20,0.00
1,0.001000,1,1,1,1,0,0,3,0.40,13383.72
1,0.001000,1,1,1,1,0,0,3,0.50,40945.73
1,0.001000,1,1,1,1,0,0,3,0.75,89008.89
1,0.001000,1,1,1,1,0,0,3,1.00,116145.12
1,0.001000,1,1,1,1,0,0,4,0.00,0.00
1,0.001000,1,1,1,1,0,0,4,0.20,0.00
1,0.001000,1,1,1,1,0,0,4,0.40,0.00
1,0.001000,1,1,1,1,0,0,4,0.50,9241.32
1,0.001000,1,1,1,1,0,0,4,0.75,65508.27
1,0.001000,1,1,1,1,0,0,4,1.00,200892.75
1,0.001000,1,1,1,1,0,0,5,0.00,0.00
1,0.001000,1,1,1,1,0,0,5,0.20,0.00
1,0.001000,1,1,1,1,0,0,5,0.40,8940.72
1,0.001000,1,1,1,1,0,0,5,0.50,17237.77
1,0.001000,1,1,1,1,0,0,5,0.75,108500.20
1,0.001000,1,1,1,1,0,0,5,1.00,240514.38
2,0.001000,2,2,1,1,0,0,1,0.00,0.00
2,0.001000,2,2,1,1,0,0,1,0.20,24828.10
2,0.001000,2,2,1,1,0,0,1,0.40,56757.50
2,0.001000,2,2,1,1,0,0,1,0.50,68225.68
2,0.001000,2,2,1,1,0,0,1,0.75,135071.22
2,0.001000,2,2,1,1,0,0,1,1.00,215459.34
2,0.001000,2,2,1,1,0,0,2,0.00,11680.03
2,0.001000,2,2,1,1,0,0,2,0.20,30591.31
2,0.001000,2,2,1,1,0,0,2,0.40,41233.22
2,0.001000,2,2,1,1,0,0,2,0.50,43858.21
2,0.001000,2,2,1,1,0,0,2,0.75,90223.47
2,0.001000,2,2,1,1,0,0,2,1.00,160000.00
2,0.001000,2,2,1,1,0,0,3,0.00,8442.36
2,0.001000,2,2,1,1,0,0,3,0.20,85203.82
2,0.001000,2,2,1,1,0,0,3,0.40,261616.31
2,0.001000,2,2,1,1,0,0,3,0.50,280002.06
2,0.001000,2,2,1,1,0,0,3,0.75,336415.53
2,0.001000,2,2,1,1,0,0,3,1.00,533498.31
2,0.001000,2,2,1,1,0,0,4,0.00,25300.32
2,0.001000,2,2,1,1,0,0,4,0.20,96829.40
2,0.001000,2,2,1,1,0,0,4,0.40,114277.61
2,0.001000,2,2,1,1,0,0,4,0.50,116827.38
2,0.001000,2,2,1,1,0,0,4,0.75,183981.16
2,0.001000,2,2,1,1,0,0,4,1.00,420000.00
2,0.001000,2,2,1,1,0,0,5,0.00,1760.11
2,0.001000,2,2,1,1,0,0,5,0.20,59322.92
2,0.001000,2,2,1,1,0,0,5,0.40,124529.97
2,0.001000,2,2,1,1,0,0,5,0.50,159567.00
2,0.001000,2,2,1,1,0,0,5,0.75,214399.83
2,0.001000,2,2,1,1,0,0,5,1.00,423070.62
2,0.001000,3,2,1,1,0,0,1,0.00,219999.98
2,0.001000,3,2,1,1,0,0,1,0.20,220000.00
2,0.001000,3,2,1,1,0,0,1,0.40,220000.00
2,0.001000,3,2,1,1,0,0,1,0.50,220000.00
2,0.001000,3,2,1,1,0,0,1,0.75,220000.00
2,0.001000,3,2,1,1,0,0,1,1.00,220000.00
2,0.001000,3,2,1,1,0,0,2,0.00,160000.00
2,0.001000,3,2,1,1,0,0,2,0.20,160000.00
2,0.001000,3,2,1,1,0,0,2,0.40,160000.00
2,0.001000,3,2,1,1,0,0,2,0.50,160000.00
2,0.001000,3,2,1,1,0,0,2,0.75,160000.00
2,0.001000,3,2,1,1,0,0,2,1.00,160000.02
2,0.001000,3,2,1,1,0,0,3,0.00,700000.00
2,0.001000,3,2,1,1,0,0,3,0.20,700000.00
2,0.001000,3,2,1,1,0,0,3,0.40,700000.00
2,0.001000,3,2,1,1,0,0,3,0.50,700000.00
2,0.001000,3,2,1,1,0,0,3,0.75,700000.00
2,0.001000,3,2,1,1,0,0,3,1.00,700000.00
2,0.001000,3,2,1,1,0,0,4,0.00,420000.00
2,0.001000,3,2,1,1,0,0,4,0.20,420000.00
2,0.001000,3,2,1,1,0,0,4,0.40,420000.00
2,0.001000,3,2,1,1,0,0,4,0.50,420000.00
2,0.001000,3,2,1,1,0,0,4,0.75,420000.00
2,0.001000,3,2,1,1,0,0,4,1.00,420000.00
2,0.001000,3,2,1,1,0,0,5,0.00,430000.00
2,0.001000,3,2,1,1,0,0,5,0.20,430000.00
2,0.001000,3,2,1,1,0,0,5,0.40,430000.00
2,0.001000,3,2,1,1,0,0,5,0.50,430000.00
2,0.001000,3,2,1,1,0,0,5,0.75,430000.00
2,0.001000,3,2,1,1,0,0,5,1.00,430000.00
5,0.001000,5,5,1,1,0,0,1,0.00,6212.13
5,0.001000,5,5,1,1,0,0,1,0.20,33120.51
5,0.001000,5,5,1,1,0,0,1,0.40,80102.65
5,0.001000,5,5,1,1,0,0,1,0.50,85178.55
5,0.001000,5,5,1,1,0,0,1,0.75,110732.19
5,0.001000,5,5,1,1,0,0,1,1.00,179849.20
5,0.001000,5,5,1,1,0,0,2,0.00,16980.36
5,0.001000,5,5,1,1,0,0,2,0.20,34935.10
5,0.001000,5,5,1,1,0,0,2,0.40,51313.20
5,0.001000,5,5,1,1,0,0,2,0.50,66262.73
5,0.001000,5,5,1,1,0,0,2,0.75,88828.18
5,0.001000,5,5,1,1,0,0,2,1.00,112169.84
5,0.001000,5,5,1,1,0,0,3,0.00,16173.06
5,0.001000,5,5,1,1,0,0,3,0.20,197706.52
5,0.001000,5,5,1,1,0,0,3,0.40,232626.48
5,0.001000,5,5,1,1,0,0,3,0.50,259865.92
5,0.001000,5,5,1,1,0,0,3,0.75,357575.88
