loc_id,PortNumber,AccNumber,LocNumber,loc_idx,peril_id,coverage_type_id,tiv,coverage_id,item_id,building_id,layer_id,agg_id
1,1,A11111,10002082047,0,WSS,1,790000.0,1,1,1,1,1
2,1,A11111,10002082049,1,WSS,1,30000.0,2,2,1,1,2
3,1,A11111,10002082050,2,WSS,1,250000.0,3,3,1,1,3
4,1,A11111,10002082052,3,WSS,1,90000.0,4,4,1,1,4
5,1,A11111,10002082053,4,WSS,1,310000.0,5,5,1,1,5
1,1,A11111,10002082047,0,WTC,1,790000.0,1,6,1,1,6
2,1,A11111,10002082049,1,WTC,1,30000.0,2,7,1,1,7
3,1,A11111,10002082050,2,WTC,1,250000.0,3,8,1,1,8
4,1,A11111,10002082052,3,WTC,1,90000.0,4,9,1,1,9
5,1,A11111,10002082053,4,WTC,1,310000.0,5,10,1,1,10
