EventId,SummaryId,SampleType,EventRate,ChanceOfLoss,MeanLoss,SDLoss,MaxLoss,FootprintExposure,MeanImpactedExposure,MaxImpactedExposure
1,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
1,1,2,0.001000,0.900000,180115.671875,186177.500000,1470000.000000,1470000.000000,1323000.000000,1470000.000000
2,1,1,0.001000,0.000000,575652.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
2,1,2,0.001000,1.000000,629392.500000,349861.312500,1470000.000000,1470000.000000,1470000.000000,1470000.000000
3,1,1,0.001000,0.000000,1470000.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
3,1,2,0.001000,1.000000,1470000.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
5,1,1,0.001000,0.000000,575652.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
5,1,2,0.001000,1.000000,599839.125000,301838.593750,1470000.000000,1470000.000000,1470000.000000,1470000.000000
12,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
12,1,2,0.001000,1.000000,133048.296875,149149.062500,1470000.000000,1470000.000000,1470000.000000,1470000.000000
17,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
17,1,2,0.001000,0.800000,131737.218750,188515.718750,1470000.000000,1470000.000000,1176000.000000,1470000.000000
27,1,1,0.001000,0.000000,1014300.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
27,1,2,0.001000,1.000000,999035.500000,337218.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
32,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
32,1,2,0.001000,0.900000,165761.531250,179075.406250,1470000.000000,1470000.000000,1323000.000000,1470000.000000
33,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
33,1,2,0.001000,0.900000,126831.664062,159251.812500,1470000.000000,1470000.000000,1323000.000000,1470000.000000
34,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
34,1,2,0.001000,1.000000,171174.515625,171251.437500,1470000.000000,1470000.000000,1470000.000000,1470000.000000
36,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
36,1,2,0.001000,0.900000,148482.468750,231606.890625,1470000.000000,1470000.000000,1323000.000000,1470000.000000
37,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
37,1,2,0.001000,0.900000,133722.281250,188026.421875,1470000.000000,1470000.000000,1323000.000000,1470000.000000
38,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
38,1,2,0.001000,0.800000,153673.609375,215811.890625,1470000.000000,1470000.000000,1176000.000000,1470000.000000
41,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
41,1,2,0.001000,0.700000,111142.414062,158225.703125,1470000.000000,1470000.000000,1029000.000000,1470000.000000
43,1,1,0.001000,0.000000,1470000.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
43,1,2,0.001000,1.000000,1470000.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
44,1,1,0.001000,0.000000,575652.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
44,1,2,0.001000,1.000000,581023.500000,316996.593750,1470000.000000,1470000.000000,1470000.000000,1470000.000000
46,1,1,0.001000,0.000000,75558.000000,0.000000,735000.000000,1470000.000000,1470000.000000,1470000.000000
46,1,2,0.001000,0.700000,73221.226562,106844.437500,735000.000000,1470000.000000,1029000.000000,1470000.000000
