GroupPeriod,Period,group_event_set_id,EventId,output_set_id,Quantile
1,677,1,975,0,0.22733602
2,756,1,1094,0,0.31675833
2,756,1,1095,0,0.7973655
4,977,1,1416,0,0.6762547
4,977,1,1417,0,0.39110956
4,977,1,1418,0,0.33281392
5,416,1,592,0,0.59830874
5,416,1,593,0,0.18673418
6,312,1,432,0,0.672756
8,230,1,322,0,0.94180286
8,230,1,323,0,0.24824572
9,108,1,153,0,0.94888115
10,642,1,918,0,0.66723746
10,642,1,919,0,0.095897935
10,642,1,920,0,0.44183967
11,64,1,98,0,0.8864799
12,319,1,447,0,0.6974535
12,319,1,448,0,0.32647288
13,662,1,950,0,0.73392814
14,305,1,419,0,0.22013496
14,305,1,420,0,0.08159457
14,305,1,421,0,0.1598956
15,456,1,655,0,0.3401002
16,618,1,883,0,0.46519315
16,618,1,884,0,0.26642102
16,618,1,885,0,0.8157764
16,618,1,886,0,0.19329439
17,150,1,215,0,0.12946908
17,150,1,216,0,0.091664754
18,924,1,1334,0,0.598568
18,924,1,1335,0,0.85474193
19,859,1,1248,0,0.60162127
19,859,1,1249,0,0.93198836
21,891,1,1296,0,0.72478133
21,891,1,1297,0,0.8605513
22,63,1,94,0,0.9293378
22,63,1,95,0,0.54618603
22,63,1,96,0,0.937673
22,63,1,97,0,0.49498793
23,134,1,182,0,0.2737732
23,134,1,183,0,0.4517787
24,763,1,1105,0,0.66503894
24,763,1,1106,0,0.33089092
24,763,1,1107,0,0.903454
24,763,1,1108,0,0.25707418
25,474,1,682,0,0.33982834
25,474,1,683,0,0.2588534
26,744,1,1079,0,0.3554465
28,519,1,736,0,0.005022334
28,519,1,737,0,0.62860453
30,18,1,29,0,0.2823827
30,18,1,30,0,0.06808769
31,539,1,767,0,0.616829
31,539,1,768,0,0.17632632
31,539,1,769,0,0.30438837
31,539,1,770,0,0.44088683
32,718,1,1033,0,0.15020233
32,718,1,1034,0,0.21792886
32,718,1,1035,0,0.4743331
32,718,1,1036,0,0.47636884
33,410,1,580,0,0.25523236
33,410,1,581,0,0.29756528
34,399,1,560,0,0.27906713
34,399,1,561,0,0.2605792
35,607,1,866,0,0.4827616
35,607,1,867,0,0.21197903
35,607,1,868,0,0.4956306
35,607,1,869,0,0.24626133
35,607,1,870,0,0.8384827
36,986,1,1428,0,0.18013059
37,246,1,340,0,0.8621563
37,246,1,341,0,0.17829944
38,21,1,35,0,0.7505313
39,185,1,272,0,0.6111204
39,185,1,273,0,0.20915504
40,914,1,1321,0,0.75987244
41,348,1,489,0,0.24926057
41,348,1,490,0,0.08557173
42,374,1,521,0,0.6180567
43,862,1,1253,0,0.53696835
44,804,1,1175,0,0.6345267
45,483,1,692,0,0.1743741
46,851,1,1236,0,0.24816449
46,851,1,1237,0,0.684823
47,561,1,806,0,0.08087165
48,476,1,685,0,0.8750736
48,476,1,686,0,0.42869437
49,106,1,149,0,0.6183942
50,800,1,1169,0,0.3131055
51,680,1,979,0,0.17896286
51,680,1,980,0,0.009712128
51,680,1,981,0,0.21004295
54,155,1,228,0,0.87000066
54,155,1,229,0,0.9728298
55,941,1,1365,0,0.44179234
55,941,1,1366,0,0.3787495
57,932,1,1350,0,0.2759471
58,923,1,1333,0,0.9661041
59,116,1,161,0,0.058202606
59,116,1,162,0,0.4087339
59,116,1,163,0,0.16862884
62,434,1,635,0,0.24014406
63,543,1,776,0,0.78000784
63,543,1,777,0,0.2037676
63,543,1,778,0,0.55205095
64,875,1,1268,0,0.36699414
64,875,1,1269,0,0.5072817
66,402,1,565,0,0.3334378
67,881,1,1276,0,0.28272167
68,450,1,649,0,0.2818303
69,833,1,1221,0,0.08538129
69,833,1,1222,0,0.48181367
70,548,1,784,0,0.8833429
70,548,1,785,0,0.9472278
70,548,1,786,0,0.027383722
70,548,1,787,0,0.91775227
71,597,1,846,0,0.12152453
71,597,1,847,0,0.74784774
71,597,1,848,0,0.89652073
72,447,1,646,0,0.1679298
74,440,1,640,0,0.33146322
75,970,1,1406,0,0.37815663
76,358,1,502,0,0.34684896
76,358,1,503,0,0.5162557
78,768,1,1115,0,0.008994027
78,768,1,1116,0,0.4226782
79,77,1,115,0,0.8776577
79,77,1,116,0,0.08740515
80,213,1,306,0,0.4840848
80,213,1,307,0,0.48122773
81,608,1,871,0,0.7825715
81,608,1,872,0,0.96455956
