GroupPeriod,Period,group_event_set_id
1,677,1
2,756,1
4,977,1
5,416,1
6,312,1
8,230,1
9,108,1
10,642,1
11,64,1
12,319,1
13,662,1
14,305,1
15,456,1
16,618,1
17,150,1
18,924,1
19,859,1
21,891,1
22,63,1
23,134,1
24,763,1
25,474,1
26,744,1
28,519,1
30,18,1
31,539,1
32,718,1
33,410,1
34,399,1
35,607,1
36,986,1
37,246,1
38,21,1
39,185,1
40,914,1
41,348,1
42,374,1
43,862,1
44,804,1
45,483,1
46,851,1
47,561,1
48,476,1
49,106,1
50,800,1
51,680,1
54,155,1
55,941,1
57,932,1
58,923,1
59,116,1
62,434,1
63,543,1
64,875,1
66,402,1
67,881,1
68,450,1
69,833,1
70,548,1
71,597,1
72,447,1
74,440,1
75,970,1
76,358,1
78,768,1
79,77,1
80,213,1
81,608,1
82,673,1
83,826,1
84,600,1
85,552,1
86,995,1
87,962,1
89,340,1
91,57,1
92,872,1
93,929,1
94,728,1
95,143,1
96,281,1
97,407,1
100,382,1
102,4,1
104,731,1
105,383,1
106,603,1
107,384,1
108,758,1
109,846,1
111,371,1
112,794,1
113,925,1
114,909,1
115,610,1
117,578,1
118,428,1
122,587,1
123,874,1
124,926,1
125,537,1
126,583,1
127,353,1
128,894,1
129,839,1
131,285,1
132,429,1
134,663,1
135,706,1
136,465,1
139,295,1
141,989,1
142,823,1
143,265,1
145,302,1
146,869,1
148,86,1
149,267,1
150,164,1
151,638,1
152,457,1
153,831,1
156,171,1
157,71,1
158,589,1
159,930,1
160,392,1
161,743,1
162,240,1
163,801,1
164,455,1
165,296,1
166,293,1
170,114,1
171,339,1
172,883,1
173,174,1
174,89,1
176,968,1
178,984,1
179,212,1
180,691,1
182,30,1
183,841,1
184,425,1
185,733,1
186,840,1
187,852,1
188,405,1
191,451,1
193,829,1
194,864,1
197,675,1
198,48,1
199,158,1
200,569,1
201,272,1
202,506,1
204,658,1
205,270,1
206,983,1
207,505,1
208,129,1
210,356,1
211,156,1
212,153,1
213,819,1
215,306,1
216,14,1
217,137,1
218,635,1
219,378,1
220,161,1
221,119,1
222,777,1
223,560,1
224,682,1
225,598,1
227,195,1
228,572,1
231,705,1
232,59,1
234,315,1
235,779,1
236,757,1
238,433,1
239,458,1
242,526,1
244,325,1
246,389,1
247,45,1
248,567,1
249,495,1
251,173,1
252,219,1
253,504,1
254,972,1
255,190,1
257,35,1
258,762,1
259,512,1
260,565,1
261,574,1
262,915,1
263,973,1
265,646,1
268,933,1
269,575,1
272,284,1
273,945,1
274,649,1
275,916,1
276,950,1
277,736,1
281,825,1
283,715,1
284,262,1
285,6,1
286,324,1
287,712,1
288,408,1
289,147,1
293,27,1
294,764,1
297,105,1
298,58,1
300,738,1
301,398,1
302,502,1
303,878,1
304,55,1
305,227,1
306,971,1
307,95,1
308,520,1
309,260,1
310,987,1
311,525,1
312,413,1
314,327,1
315,879,1
316,280,1
317,687,1
318,803,1
319,771,1
320,304,1
321,884,1
322,85,1
326,152,1
327,73,1
328,263,1
329,904,1
332,56,1
335,796,1
337,344,1
339,427,1
341,659,1
343,19,1
344,1,1
345,964,1
346,278,1
347,795,1
348,288,1
349,581,1
350,571,1
351,289,1
352,117,1
353,194,1
354,231,1
355,745,1
356,335,1
359,279,1
360,489,1
362,557,1
363,531,1
364,616,1
365,380,1
367,255,1
368,79,1
369,20,1
370,849,1
371,332,1
372,558,1
375,236,1
376,37,1
377,746,1
378,824,1
379,366,1
380,199,1
381,938,1
382,322,1
383,584,1
384,955,1
385,858,1
386,807,1
387,187,1
388,998,1
389,394,1
390,517,1
391,912,1
392,197,1
393,145,1
394,25,1
396,612,1
397,112,1
398,287,1
399,421,1
401,990,1
402,542,1
403,349,1
405,772,1
406,352,1
407,653,1
409,643,1
410,703,1
411,683,1
414,770,1
415,337,1
416,888,1
417,538,1
418,688,1
419,441,1
420,128,1
421,100,1
422,415,1
424,247,1
427,99,1
429,615,1
431,769,1
432,463,1
433,893,1
434,8,1
436,889,1
437,311,1
438,948,1
440,436,1
442,224,1
443,816,1
444,920,1
445,42,1
447,940,1
448,554,1
449,953,1
451,522,1
452,919,1
453,41,1
454,812,1
455,252,1
456,669,1
457,225,1
459,497,1
460,481,1
461,177,1
462,34,1
463,186,1
464,960,1
465,239,1
466,860,1
467,462,1
469,130,1
471,564,1
472,228,1
473,949,1
475,534,1
476,317,1
477,546,1
478,341,1
479,318,1
480,887,1
481,684,1
483,617,1
484,148,1
485,814,1
486,799,1
487,958,1
489,74,1
493,23,1
494,369,1
495,438,1
496,87,1
497,393,1
498,508,1
500,645,1
503,599,1
504,749,1
505,220,1
506,639,1
507,648,1
509,75,1
510,412,1
511,419,1
514,899,1
516,496,1
517,193,1
518,126,1
524,947,1
525,431,1
527,487,1
528,741,1
529,809,1
530,678,1
531,82,1
533,692,1
534,810,1
535,530,1
536,936,1
537,725,1
539,637,1
541,857,1
543,406,1
546,788,1
550,269,1
551,856,1
552,890,1
554,299,1
555,229,1
556,943,1
557,625,1
558,927,1
560,92,1
561,765,1
562,98,1
563,693,1
565,999,1
566,850,1
567,737,1
568,209,1
569,629,1
570,10,1
572,828,1
574,484,1
575,309,1
576,461,1
578,536,1
579,257,1
581,640,1
582,144,1
583,895,1
584,165,1
585,549,1
586,563,1
587,191,1
588,654,1
589,9,1
590,613,1
591,303,1
592,981,1
594,124,1
595,651,1
597,631,1
598,586,1
599,163,1
600,652,1
601,511,1
603,154,1
604,361,1
605,333,1
607,698,1
610,135,1
611,541,1
613,291,1
614,644,1
615,261,1
616,258,1
618,676,1
619,785,1
620,181,1
621,151,1
622,568,1
623,207,1
625,867,1
626,966,1
627,142,1
629,233,1
632,820,1
633,905,1
634,782,1
636,907,1
637,188,1
638,69,1
639,494,1
640,113,1
641,234,1
642,717,1
643,702,1
645,726,1
647,931,1
648,244,1
649,647,1
651,886,1
652,273,1
653,381,1
654,444,1
655,359,1
657,798,1
659,346,1
660,38,1
661,509,1
662,192,1
663,53,1
665,49,1
666,238,1
667,956,1
669,326,1
670,62,1
671,370,1
673,623,1
674,33,1
675,242,1
676,641,1
677,422,1
678,432,1
679,832,1
680,26,1
681,533,1
682,492,1
684,674,1
686,182,1
687,68,1
688,922,1
689,622,1
690,221,1
692,700,1
694,466,1
695,464,1
696,372,1
697,249,1
698,328,1
699,500,1
700,813,1
701,730,1
702,934,1
703,16,1
705,994,1
706,661,1
707,179,1
708,821,1
709,251,1
710,620,1
711,528,1
