,GroupPeriod,Period,group_event_set_id,EventId,output_set_id,Quantile
28960,1,677,1,975,2,0.61213905
28963,4,977,1,1416,2,0.33896184
28964,4,977,1,1417,2,0.1317847
28965,4,977,1,1418,2,0.1867646
28966,5,416,1,592,2,0.30014846
28967,5,416,1,593,2,0.901248
28968,6,312,1,432,2,0.53725016
28969,8,230,1,322,2,0.57082784
28970,8,230,1,323,2,0.68476045
28971,9,108,1,153,2,0.8809041
28972,10,642,1,918,2,0.1364685
28974,10,642,1,920,2,0.39223474
28975,11,64,1,98,2,0.79155165
28977,12,319,1,448,2,0.7837843
28978,13,662,1,950,2,0.21936616
28979,14,305,1,419,2,0.52471894
28980,14,305,1,420,2,0.05580547
28981,14,305,1,421,2,0.32901248
28983,16,618,1,883,2,0.55755585
28984,16,618,1,884,2,0.5675478
28986,16,618,1,886,2,0.6335259
28987,17,150,1,215,2,0.804673
28988,17,150,1,216,2,0.7392117
28990,18,924,1,1335,2,0.79086655
28991,19,859,1,1248,2,0.6512361
28992,19,859,1,1249,2,0.7840462
28994,21,891,1,1297,2,0.2632305
28995,22,63,1,94,2,0.57602745
28996,22,63,1,95,2,0.8714197
28997,22,63,1,96,2,0.23884812
28998,22,63,1,97,2,0.21416293
28999,23,134,1,182,2,0.254117
29002,24,763,1,1106,2,0.18676111
29004,24,763,1,1108,2,0.18503937
29005,25,474,1,682,2,0.7630852
29006,25,474,1,683,2,0.95445275
29007,26,744,1,1079,2,0.08891219
29008,28,519,1,736,2,0.7151871
29010,30,18,1,29,2,0.043086316
29011,30,18,1,30,2,0.9509925
29012,31,539,1,767,2,0.54256284
29014,31,539,1,769,2,0.40996924
29015,31,539,1,770,2,0.3808727
29016,32,718,1,1033,2,0.15494983
29017,32,718,1,1034,2,0.3562283
29018,32,718,1,1035,2,0.38882914
29019,32,718,1,1036,2,0.2772099
29020,33,410,1,580,2,0.049244113
29021,33,410,1,581,2,0.7443862
29022,34,399,1,560,2,0.9668518
29024,35,607,1,866,2,0.3447632
29025,35,607,1,867,2,0.5603252
29027,35,607,1,869,2,0.42814708
29028,35,607,1,870,2,0.8414007
29029,36,986,1,1428,2,0.8018166
29030,37,246,1,340,2,0.19468533
29031,37,246,1,341,2,0.96280885
29032,38,21,1,35,2,0.025435643
29033,39,185,1,272,2,0.9360627
29034,39,185,1,273,2,0.17894112
29035,40,914,1,1321,2,0.06781751
29036,41,348,1,489,2,0.16305715
29037,41,348,1,490,2,0.22313878
29039,43,862,1,1253,2,0.5224397
29040,44,804,1,1175,2,0.23254353
29041,45,483,1,692,2,0.06506644
29042,46,851,1,1236,2,0.41768166
29043,46,851,1,1237,2,0.4431788
29044,47,561,1,806,2,0.46679533
29045,48,476,1,685,2,0.44993734
29046,48,476,1,686,2,0.3240732
29048,50,800,1,1169,2,0.92010456
29049,51,680,1,979,2,0.6191806
29050,51,680,1,980,2,0.19318213
29051,51,680,1,981,2,0.59973824
29052,54,155,1,228,2,0.8386503
29053,54,155,1,229,2,0.5188215
29054,55,941,1,1365,2,0.742584
29055,55,941,1,1366,2,0.36246783
29056,57,932,1,1350,2,0.046852928
29057,58,923,1,1333,2,0.3432616
29060,59,116,1,163,2,0.8543295
