,GroupPeriod,Period,group_event_set_id,EventId,output_set_id,Quantile
43446,5,637,1,911,3,0.5252768
43447,6,788,1,1146,3,0.58351755
43448,6,788,1,1147,3,0.15561877
43450,7,60,1,90,3,0.123254746
43451,8,621,1,890,3,0.4316798
43452,9,561,1,806,3,0.68217665
43453,10,672,1,967,3,0.9727531
43455,11,658,1,945,3,0.053473745
43456,12,61,1,91,3,0.46695065
43457,13,660,1,947,3,0.9801014
43458,13,660,1,948,3,0.25640997
43459,14,27,1,45,3,0.1314549
43461,16,410,1,580,3,0.29858872
43462,16,410,1,581,3,0.29813686
43463,18,359,1,504,3,0.26194826
43465,20,340,1,481,3,0.5678789
43466,20,340,1,482,3,0.03166294
43469,22,891,1,1297,3,0.16587608
43470,23,280,1,392,3,0.4102416
43471,23,280,1,393,3,0.88396955
43474,28,632,1,904,3,0.91063327
43475,28,632,1,905,3,0.55368286
43476,28,632,1,906,3,0.20853843
43477,29,108,1,153,3,0.81030136
43479,31,134,1,182,3,0.13224971
43481,32,529,1,747,3,0.2755527
43483,33,629,1,899,3,0.84078526
43484,34,360,1,505,3,0.8675319
43485,35,150,1,215,3,0.95309037
43486,35,150,1,216,3,0.9403256
43488,37,558,1,801,3,0.44991276
43489,39,124,1,169,3,0.4926641
43490,39,124,1,170,3,0.6353792
43491,40,764,1,1109,3,0.30859634
43492,40,764,1,1110,3,0.69783455
43493,40,764,1,1111,3,0.45594436
43494,41,16,1,25,3,0.4841094
43495,41,16,1,26,3,0.16869119
43497,41,16,1,28,3,0.72357386
43499,44,975,1,1414,3,0.5026214
43500,44,975,1,1415,3,0.53504956
43501,46,789,1,1148,3,0.79350895
43502,47,669,1,959,3,0.9437555
43503,47,669,1,960,3,0.6581084
43504,47,669,1,961,3,0.7497539
43506,47,669,1,963,3,0.6897276
43507,47,669,1,964,3,0.44558442
43509,48,269,1,379,3,0.14386733
43510,50,146,1,208,3,0.05698739
43511,50,146,1,209,3,0.9316946
43512,50,146,1,210,3,0.14356141
43514,52,514,1,731,3,0.571619
43515,55,63,1,94,3,0.07139535
43516,55,63,1,95,3,0.52714646
43517,55,63,1,96,3,0.16838747
43518,55,63,1,97,3,0.8421519
43519,56,556,1,798,3,0.9686639
43520,57,613,1,876,3,0.12479103
43522,60,801,1,1170,3,0.0071146837
43523,60,801,1,1171,3,0.65212834
43524,61,191,1,280,3,0.12800142
43525,61,191,1,281,3,0.96850544
43526,62,135,1,184,3,0.28163192
43527,63,346,1,488,3,0.33599132
43529,64,692,1,998,3,0.5802231
43530,68,526,1,744,3,0.6877087
43532,69,322,1,450,3,0.7394271
43533,69,322,1,451,3,0.3784938
43534,69,322,1,452,3,0.26159906
43535,70,594,1,840,3,0.8531138
43536,72,291,1,406,3,0.7976582
43537,72,291,1,407,3,0.37538433
43538,73,651,1,933,3,0.29608068
43540,74,406,1,573,3,0.08458416
43541,74,406,1,574,3,0.7754749
43542,76,59,1,88,3,0.26924443
43543,77,785,1,1141,3,0.24800046
43544,79,338,1,478,3,0.3846829
43545,79,338,1,479,3,0.46307594
43546,81,491,1,702,3,0.83689636
43548,83,451,1,650,3,0.38339075
43549,84,952,1,1380,3,0.5796687
43550,84,952,1,1381,3,0.3404507
43552,85,925,1,1336,3,0.9475022
43553,85,925,1,1337,3,0.73095137
43554,86,299,1,413,3,0.49856454
43555,88,454,1,651,3,0.2758075
43557,89,15,1,24,3,0.27453715
43558,90,161,1,235,3,0.4045867
43559,90,161,1,236,3,0.26479214
43561,90,161,1,238,3,0.3603531
43562,90,161,1,239,3,0.27861595
43563,92,648,1,928,3,0.914841
43565,93,986,1,1428,3,0.027811233
43566,94,597,1,846,3,0.4705098
43569,95,905,1,1311,3,0.6462024
43570,95,905,1,1312,3,0.69150496
43571,96,762,1,1103,3,0.1393698
43573,97,596,1,841,3,0.40893015
43574,97,596,1,842,3,0.60534436
43576,97,596,1,844,3,0.12804557
43577,97,596,1,845,3,0.56920904
43578,98,187,1,276,3,0.9530538
43579,99,440,1,640,3,0.6544511
43580,100,787,1,1145,3,0.95154357
43582,101,635,1,908,3,0.85575503
43584,103,371,1,518,3,0.51897377
43585,103,371,1,519,3,0.6841337
43589,106,851,1,1236,3,0.95419246
43590,106,851,1,1237,3,0.10456871
43591,107,370,1,516,3,0.5782561
43592,108,914,1,1321,3,0.6557129
43593,109,85,1,124,3,0.4165681
43594,110,304,1,418,3,0.513384
43595,113,407,1,575,3,0.2775375
43596,113,407,1,576,3,0.8587011
43597,113,407,1,577,3,0.42222524
43598,114,524,1,740,3,0.4008058
43599,115,114,1,160,3,0.6368605
43601,117,623,1,892,3,0.10176757
43603,119,844,1,1230,3,0.9279998
43605,120,737,1,1063,3,0.99758595
43606,120,737,1,1064,3,0.43854326
43607,121,989,1,1430,3,0.14085738
43608,121,989,1,1431,3,0.5037644
43610,123,553,1,792,3,0.8896106
43612,123,553,1,794,3,0.57421243
43613,124,970,1,1406,3,0.13944511
43614,126,421,1,601,3,0.054053064
43615,126,421,1,602,3,0.36775202
43617,127,536,1,763,3,0.6167415
43618,127,536,1,764,3,0.6040103
43620,133,577,1,829,3,0.7793113
43622,134,119,1,167,3,0.8718917
43625,139,344,1,486,3,0.9918689
43626,140,498,1,710,3,0.47445393
43627,140,498,1,711,3,0.5467896
43628,141,738,1,1065,3,0.53367925
43630,141,738,1,1067,3,0.2914231
43636,147,977,1,1416,3,0.6735987
43637,147,977,1,1417,3,0.3534499
43638,147,977,1,1418,3,0.4881512
43640,148,319,1,448,3,0.8907267
43641,149,460,1,661,3,0.24347696
43642,149,460,1,662,3,0.59939355
43643,151,994,1,1439,3,0.4128697
43645,153,490,1,701,3,0.60184205
43646,154,112,1,154,3,0.2757643
43647,154,112,1,155,3,0.6576515
43648,154,112,1,156,3,0.8710261
43649,154,112,1,157,3,0.38444644
43651,157,113,1,158,3,0.10501937
43652,157,113,1,159,3,0.5237403
43653,158,45,1,70,3,0.92620564
43654,159,554,1,795,3,0.42293543
43655,161,907,1,1313,3,0.9280958
43656,161,907,1,1314,3,0.21660356
43657,163,563,1,807,3,0.9975653
43661,165,266,1,373,3,0.8175662
43662,166,555,1,796,3,0.93651956
43663,166,555,1,797,3,0.134042
