Period,PeriodWeight,EventId,Year,Month,Day,Hour,Minute,SummaryId,SampleType,ChanceOfLoss,MeanLoss,SDLoss,MaxLoss,FootprintExposure,MeanImpactedExposure,MaxImpactedExposure
1,0.001000,1,1,1,1,0,0,1,2,0.3000,662.03,1468.20,56294.12,56294.12,16888.24,56294.12
1,0.001000,1,1,1,1,0,0,2,2,0.3000,6044.34,12957.79,202147.08,202147.08,60644.12,202147.08
1,0.001000,1,1,1,1,0,0,3,2,0.2000,793.87,1736.08,40941.18,40941.18,8188.24,40941.18
1,0.001000,1,1,1,1,0,0,4,2,0.3000,127.20,244.68,7676.47,7676.47,2302.94,7676.47
1,0.001000,1,1,1,1,0,0,5,2,0.3000,2281.46,4829.20,63970.59,63970.59,19191.18,63970.59
1,0.001000,1,1,1,1,0,0,6,2,0.3000,2853.10,5571.94,179117.67,179117.67,53735.30,179117.67
1,0.001000,1,1,1,1,0,0,7,2,0.3000,492.52,1105.56,23029.41,23029.41,6908.82,23029.41
1,0.001000,1,1,1,1,0,0,8,2,0.3000,2616.49,6432.81,79323.54,79323.54,23797.06,79323.54
1,0.001000,1,1,1,1,0,0,9,2,0.3000,2295.27,4390.69,107470.60,107470.60,32241.18,107470.60
1,0.001000,1,1,1,1,0,0,10,2,0.3000,3722.40,11129.25,110029.42,110029.42,33008.83,110029.42
2,0.001000,2,2,1,1,0,0,1,1,0.0000,16139.72,0.00,56294.12,56294.12,56294.12,56294.12
2,0.001000,2,2,1,1,0,0,1,2,0.8000,17130.18,20521.64,56294.12,56294.12,45035.30,56294.12
2,0.001000,2,2,1,1,0,0,2,1,0.0000,57956.26,0.00,202147.09,202147.08,202147.08,202147.08
2,0.001000,2,2,1,1,0,0,2,2,0.9000,68224.39,61348.66,202147.09,202147.08,181932.34,202147.08
2,0.001000,2,2,1,1,0,0,3,1,0.0000,11737.98,0.00,40941.18,40941.18,40941.18,40941.18
2,0.001000,2,2,1,1,0,0,3,2,0.9000,12941.81,13134.73,40941.18,40941.18,36847.06,40941.18
2,0.001000,2,2,1,1,0,0,4,1,0.0000,2200.87,0.00,7676.47,7676.47,7676.47,7676.47
2,0.001000,2,2,1,1,0,0,4,2,0.9000,2411.36,2334.00,7676.47,7676.47,6908.82,7676.47
2,0.001000,2,2,1,1,0,0,5,1,0.0000,18340.59,0.00,63970.60,63970.59,63970.59,63970.59
2,0.001000,2,2,1,1,0,0,5,2,0.9000,17484.34,12326.55,63970.60,63970.59,57573.53,63970.59
2,0.001000,2,2,1,1,0,0,6,1,0.0000,51353.65,0.00,179117.66,179117.67,179117.67,179117.67
2,0.001000,2,2,1,1,0,0,6,2,0.9000,49427.46,41200.61,179117.66,179117.67,161205.91,179117.67
2,0.001000,2,2,1,1,0,0,7,1,0.0000,6602.61,0.00,23029.41,23029.41,23029.41,23029.41
2,0.001000,2,2,1,1,0,0,7,2,0.9000,6614.38,7407.89,23029.41,23029.41,20726.47,23029.41
2,0.001000,2,2,1,1,0,0,8,1,0.0000,22742.33,0.00,79323.54,79323.54,79323.54,79323.54
2,0.001000,2,2,1,1,0,0,8,2,0.9000,24150.75,25606.27,79323.54,79323.54,71391.19,79323.54
2,0.001000,2,2,1,1,0,0,9,1,0.0000,30812.19,0.00,107470.61,107470.60,107470.60,107470.60
2,0.001000,2,2,1,1,0,0,9,2,0.9000,29141.86,31315.90,107470.61,107470.60,96723.55,107470.60
2,0.001000,2,2,1,1,0,0,10,1,0.0000,31545.81,0.00,110029.42,110029.42,110029.42,110029.42
2,0.001000,2,2,1,1,0,0,10,2,0.9000,34851.98,35750.05,110029.42,110029.42,99026.49,110029.42
2,0.001000,3,2,1,1,0,0,1,1,0.0000,56294.12,0.00,56294.12,56294.12,56294.12,56294.12
2,0.001000,3,2,1,1,0,0,1,2,1.0000,56294.12,0.00,56294.12,56294.12,56294.13,56294.12
2,0.001000,3,2,1,1,0,0,2,1,0.0000,202147.08,0.00,202147.08,202147.08,202147.08,202147.08
2,0.001000,3,2,1,1,0,0,2,2,1.0000,202147.11,0.00,202147.08,202147.08,202147.05,202147.08
2,0.001000,3,2,1,1,0,0,3,1,0.0000,40941.18,0.00,40941.18,40941.18,40941.18,40941.18
2,0.001000,3,2,1,1,0,0,3,2,1.0000,40941.18,0.00,40941.18,40941.18,40941.18,40941.18
2,0.001000,3,2,1,1,0,0,4,1,0.0000,7676.47,0.00,7676.47,7676.47,7676.47,7676.47
2,0.001000,3,2,1,1,0,0,4,2,1.0000,7676.47,0.00,7676.47,7676.47,7676.47,7676.47
2,0.001000,3,2,1,1,0,0,5,1,0.0000,63970.60,0.00,63970.59,63970.59,63970.59,63970.59
2,0.001000,3,2,1,1,0,0,5,2,1.0000,63970.60,0.00,63970.59,63970.59,63970.59,63970.59
2,0.001000,3,2,1,1,0,0,6,1,0.0000,179117.67,0.00,179117.67,179117.67,179117.67,179117.67
2,0.001000,3,2,1,1,0,0,6,2,1.0000,179117.66,0.00,179117.67,179117.67,179117.67,179117.67
2,0.001000,3,2,1,1,0,0,7,1,0.0000,23029.41,0.00,23029.41,23029.41,23029.41,23029.41
2,0.001000,3,2,1,1,0,0,7,2,1.0000,23029.41,0.00,23029.41,23029.41,23029.41,23029.41
2,0.001000,3,2,1,1,0,0,8,1,0.0000,79323.54,0.00,79323.54,79323.54,79323.54,79323.54
2,0.001000,3,2,1,1,0,0,8,2,1.0000,79323.54,0.00,79323.54,79323.54,79323.54,79323.54
2,0.001000,3,2,1,1,0,0,9,1,0.0000,107470.59,0.00,107470.60,107470.60,107470.60,107470.60
2,0.001000,3,2,1,1,0,0,9,2,1.0000,107470.61,0.00,107470.60,107470.60,107470.62,107470.60
2,0.001000,3,2,1,1,0,0,10,1,0.0000,110029.42,0.00,110029.42,110029.42,110029.42,110029.42
2,0.001000,3,2,1,1,0,0,10,2,1.0000,110029.42,0.00,110029.42,110029.42,110029.44,110029.42
5,0.001000,5,5,1,1,0,0,1,1,0.0000,16139.72,0.00,56294.12,56294.12,56294.12,56294.12
5,0.001000,5,5,1,1,0,0,1,2,1.0000,16390.77,12159.39,56294.12,56294.12,56294.13,56294.12
5,0.001000,5,5,1,1,0,0,2,1,0.0000,57956.26,0.00,202147.09,202147.08,202147.08,202147.08
5,0.001000,5,5,1,1,0,0,2,2,1.0000,64175.07,46345.41,202147.09,202147.08,202147.05,202147.08
5,0.001000,5,5,1,1,0,0,3,1,0.0000,11737.98,0.00,40941.18,40941.18,40941.18,40941.18
5,0.001000,5,5,1,1,0,0,3,2,1.0000,12400.39,7614.93,40941.18,40941.18,40941.18,40941.18
5,0.001000,5,5,1,1,0,0,4,1,0.0000,2200.87,0.00,7676.47,7676.47,7676.47,7676.47
5,0.001000,5,5,1,1,0,0,4,2,1.0000,2509.12,2086.57,7676.47,7676.47,7676.47,7676.47
5,0.001000,5,5,1,1,0,0,5,1,0.0000,18340.59,0.00,63970.60,63970.59,63970.59,63970.59
5,0.001000,5,5,1,1,0,0,5,2,1.0000,19624.71,14659.47,63970.60,63970.59,63970.59,63970.59
5,0.001000,5,5,1,1,0,0,6,1,0.0000,51353.65,0.00,179117.66,179117.67,179117.67,179117.67
5,0.001000,5,5,1,1,0,0,6,2,1.0000,51690.41,37872.88,179117.66,179117.67,179117.67,179117.67
5,0.001000,5,5,1,1,0,0,7,1,0.0000,6602.61,0.00,23029.41,23029.41,23029.41,23029.41
5,0.001000,5,5,1,1,0,0,7,2,1.0000,6714.00,4538.60,23029.41,23029.41,23029.41,23029.41
5,0.001000,5,5,1,1,0,0,8,1,0.0000,22742.33,0.00,79323.54,79323.54,79323.54,79323.54
5,0.001000,5,5,1,1,0,0,8,2,1.0000,23606.98,18176.90,79323.54,79323.54,79323.54,79323.54
5,0.001000,5,5,1,1,0,0,9,1,0.0000,30812.19,0.00,107470.61,107470.60,107470.60,107470.60
5,0.001000,5,5,1,1,0,0,9,2,1.0000,30905.04,22672.89,107470.61,107470.60,107470.62,107470.60
5,0.001000,5,5,1,1,0,0,10,1,0.0000,31545.81,0.00,110029.42,110029.42,110029.42,110029.42
5,0.001000,5,5,1,1,0,0,10,2,1.0000,31416.87,19286.30,110029.42,110029.42,110029.44,110029.42
8,0.001000,12,8,1,1,0,0,1,2,0.2000,1056.45,2293.59,56294.12,56294.12,11258.83,56294.12
8,0.001000,12,8,1,1,0,0,2,2,0.2000,2233.61,4809.30,202147.08,202147.08,40429.41,202147.08
8,0.001000,12,8,1,1,0,0,3,2,0.2000,753.26,1747.43,40941.18,40941.18,8188.24,40941.18
8,0.001000,12,8,1,1,0,0,4,2,0.2000,68.28,147.85,7676.47,7676.47,1535.29,7676.47
8,0.001000,12,8,1,1,0,0,5,2,0.2000,1446.10,3068.38,63970.59,63970.59,12794.12,63970.59
8,0.001000,12,8,1,1,0,0,6,2,0.2000,1283.16,3449.47,179117.67,179117.67,35823.54,179117.67
