Period,PeriodWeight,EventId,Year,Month,Day,Hour,Minute,SummaryId,Quantile,Loss
1,0.001000,1,1,1,1,0,0,1,0.00,0.00
1,0.001000,1,1,1,1,0,0,1,0.20,0.00
1,0.001000,1,1,1,1,0,0,1,0.40,0.00
1,0.001000,1,1,1,1,0,0,1,0.50,0.00
1,0.001000,1,1,1,1,0,0,1,0.75,433.82
1,0.001000,1,1,1,1,0,0,1,1.00,4632.88
1,0.001000,1,1,1,1,0,0,2,0.00,0.00
1,0.001000,1,1,1,1,0,0,2,0.20,0.00
1,0.001000,1,1,1,1,0,0,2,0.40,0.00
1,0.001000,1,1,1,1,0,0,2,0.50,0.00
1,0.001000,1,1,1,1,0,0,2,0.75,5806.46
1,0.001000,1,1,1,1,0,0,2,1.00,40976.39
1,0.001000,1,1,1,1,0,0,3,0.00,0.00
1,0.001000,1,1,1,1,0,0,3,0.20,0.00
1,0.001000,1,1,1,1,0,0,3,0.40,0.00
1,0.001000,1,1,1,1,0,0,3,0.50,0.00
1,0.001000,1,1,1,1,0,0,3,0.75,0.00
1,0.001000,1,1,1,1,0,0,3,1.00,4948.32
1,0.001000,1,1,1,1,0,0,4,0.00,0.00
1,0.001000,1,1,1,1,0,0,4,0.20,0.00
1,0.001000,1,1,1,1,0,0,4,0.40,0.00
1,0.001000,1,1,1,1,0,0,4,0.50,0.00
1,0.001000,1,1,1,1,0,0,4,0.75,123.91
1,0.001000,1,1,1,1,0,0,4,1.00,727.75
1,0.001000,1,1,1,1,0,0,5,0.00,0.00
1,0.001000,1,1,1,1,0,0,5,0.20,0.00
1,0.001000,1,1,1,1,0,0,5,0.40,0.00
1,0.001000,1,1,1,1,0,0,5,0.50,0.00
1,0.001000,1,1,1,1,0,0,5,0.75,536.18
1,0.001000,1,1,1,1,0,0,5,1.00,13985.12
1,0.001000,1,1,1,1,0,0,6,0.00,0.00
1,0.001000,1,1,1,1,0,0,6,0.20,0.00
1,0.001000,1,1,1,1,0,0,6,0.40,0.00
1,0.001000,1,1,1,1,0,0,6,0.50,0.00
1,0.001000,1,1,1,1,0,0,6,0.75,2086.95
1,0.001000,1,1,1,1,0,0,6,1.00,16159.66
1,0.001000,1,1,1,1,0,0,7,0.00,0.00
1,0.001000,1,1,1,1,0,0,7,0.20,0.00
1,0.001000,1,1,1,1,0,0,7,0.40,0.00
1,0.001000,1,1,1,1,0,0,7,0.50,0.00
1,0.001000,1,1,1,1,0,0,7,0.75,449.04
1,0.001000,1,1,1,1,0,0,7,1.00,3524.95
1,0.001000,1,1,1,1,0,0,8,0.00,0.00
1,0.001000,1,1,1,1,0,0,8,0.20,0.00
1,0.001000,1,1,1,1,0,0,8,0.40,0.00
1,0.001000,1,1,1,1,0,0,8,0.50,0.00
1,0.001000,1,1,1,1,0,0,8,0.75,1599.27
1,0.001000,1,1,1,1,0,0,8,1.00,20605.85
1,0.001000,1,1,1,1,0,0,9,0.00,0.00
1,0.001000,1,1,1,1,0,0,9,0.20,0.00
1,0.001000,1,1,1,1,0,0,9,0.40,0.00
1,0.001000,1,1,1,1,0,0,9,0.50,0.00
1,0.001000,1,1,1,1,0,0,9,0.75,1593.70
1,0.001000,1,1,1,1,0,0,9,1.00,11958.66
1,0.001000,1,1,1,1,0,0,10,0.00,0.00
1,0.001000,1,1,1,1,0,0,10,0.20,0.00
1,0.001000,1,1,1,1,0,0,10,0.40,0.00
1,0.001000,1,1,1,1,0,0,10,0.50,0.00
1,0.001000,1,1,1,1,0,0,10,0.75,463.92
1,0.001000,1,1,1,1,0,0,10,1.00,35375.26
2,0.001000,2,2,1,1,0,0,1,0.00,0.00
2,0.001000,2,2,1,1,0,0,1,0.20,150.66
2,0.001000,2,2,1,1,0,0,1,0.40,6612.28
2,0.001000,2,2,1,1,0,0,1,0.50,8264.25
2,0.001000,2,2,1,1,0,0,1,0.75,28149.75
2,0.001000,2,2,1,1,0,0,1,1.00,52588.47
2,0.001000,2,2,1,1,0,0,2,0.00,0.00
2,0.001000,2,2,1,1,0,0,2,0.20,16380.48
2,0.001000,2,2,1,1,0,0,2,0.40,42492.49
2,0.001000,2,2,1,1,0,0,2,0.50,54754.14
2,0.001000,2,2,1,1,0,0,2,0.75,100804.52
2,0.001000,2,2,1,1,0,0,2,1.00,199030.67
2,0.001000,2,2,1,1,0,0,3,0.00,0.00
2,0.001000,2,2,1,1,0,0,3,0.20,4258.90
2,0.001000,2,2,1,1,0,0,3,0.40,6504.44
2,0.001000,2,2,1,1,0,0,3,0.50,7023.19
2,0.001000,2,2,1,1,0,0,3,0.75,17241.69
2,0.001000,2,2,1,1,0,0,3,1.00,40310.01
2,0.001000,2,2,1,1,0,0,4,0.00,0.00
2,0.001000,2,2,1,1,0,0,4,0.20,565.80
2,0.001000,2,2,1,1,0,0,4,0.40,1374.74
2,0.001000,2,2,1,1,0,0,4,0.50,1749.59
2,0.001000,2,2,1,1,0,0,4,0.75,3580.41
2,0.001000,2,2,1,1,0,0,4,1.00,7558.13
2,0.001000,2,2,1,1,0,0,5,0.00,0.00
2,0.001000,2,2,1,1,0,0,5,0.20,7984.47
2,0.001000,2,2,1,1,0,0,5,0.40,14160.50
2,0.001000,2,2,1,1,0,0,5,0.50,18548.92
2,0.001000,2,2,1,1,0,0,5,0.75,22922.89
2,0.001000,2,2,1,1,0,0,5,1.00,40810.28
2,0.001000,2,2,1,1,0,0,6,0.00,0.00
2,0.001000,2,2,1,1,0,0,6,0.20,11857.63
2,0.001000,2,2,1,1,0,0,6,0.40,41095.88
2,0.001000,2,2,1,1,0,0,6,0.50,46276.94
2,0.001000,2,2,1,1,0,0,6,0.75,61511.16
2,0.001000,2,2,1,1,0,0,6,1.00,134408.27
2,0.001000,2,2,1,1,0,0,7,0.00,0.00
2,0.001000,2,2,1,1,0,0,7,0.20,494.62
2,0.001000,2,2,1,1,0,0,7,0.40,3189.43
2,0.001000,2,2,1,1,0,0,7,0.50,3639.86
2,0.001000,2,2,1,1,0,0,7,0.75,10118.25
2,0.001000,2,2,1,1,0,0,7,1.00,21074.32
2,0.001000,2,2,1,1,0,0,8,0.00,0.00
2,0.001000,2,2,1,1,0,0,8,0.20,7664.63
2,0.001000,2,2,1,1,0,0,8,0.40,10063.53
2,0.001000,2,2,1,1,0,0,8,0.50,11946.87
2,0.001000,2,2,1,1,0,0,8,0.75,30958.10
2,0.001000,2,2,1,1,0,0,8,1.00,78100.64
