Period,PeriodWeight,EventId,Year,Month,Day,Hour,Minute,SummaryId,SampleType,ChanceOfLoss,MeanLoss,SDLoss,MaxLoss,FootprintExposure,MeanImpactedExposure,MaxImpactedExposure
1,0.001000,1,1,1,1,0,0,1,1,0.0000,22616.00,0.00,220000.00,220000.00,220000.00,220000.00
1,0.001000,1,1,1,1,0,0,1,2,0.6000,11976.43,18143.38,220000.00,220000.00,132000.00,220000.00
1,0.001000,1,1,1,1,0,0,2,1,0.0000,81212.00,0.00,790000.00,790000.00,790000.00,790000.00
1,0.001000,1,1,1,1,0,0,2,2,0.7000,102521.59,104209.36,790000.00,790000.00,553000.00,790000.00
1,0.001000,1,1,1,1,0,0,3,1,0.0000,16448.00,0.00,160000.00,160000.00,160000.00,160000.00
1,0.001000,1,1,1,1,0,0,3,2,0.5000,13053.40,18767.42,160000.00,160000.00,80000.00,160000.00
1,0.001000,1,1,1,1,0,0,4,1,0.0000,3084.00,0.00,30000.00,30000.00,30000.00,30000.00
1,0.001000,1,1,1,1,0,0,4,2,0.8000,3775.28,3231.71,30000.00,30000.00,24000.00,30000.00
1,0.001000,1,1,1,1,0,0,5,1,0.0000,25700.00,0.00,250000.00,250000.00,250000.00,250000.00
1,0.001000,1,1,1,1,0,0,5,2,0.5000,26839.81,38993.77,250000.00,250000.00,125000.00,250000.00
1,0.001000,1,1,1,1,0,0,6,1,0.0000,71960.00,0.00,700000.00,700000.00,700000.00,700000.00
1,0.001000,1,1,1,1,0,0,6,2,0.6000,48528.77,49206.41,700000.00,700000.00,420000.00,700000.00
1,0.001000,1,1,1,1,0,0,7,1,0.0000,9252.00,0.00,90000.00,90000.00,90000.00,90000.00
1,0.001000,1,1,1,1,0,0,7,2,0.6000,8797.99,10213.24,90000.00,90000.00,54000.00,90000.00
1,0.001000,1,1,1,1,0,0,8,1,0.0000,31868.00,0.00,310000.00,310000.00,310000.00,310000.00
1,0.001000,1,1,1,1,0,0,8,2,0.6000,38181.02,43755.32,310000.00,310000.00,186000.00,310000.00
1,0.001000,1,1,1,1,0,0,9,1,0.0000,43176.00,0.00,420000.00,420000.00,420000.00,420000.00
