Period,PeriodWeight,EventId,Year,Month,Day,Hour,Minute,SummaryId,Quantile,Loss
1,0.001000,1,1,1,1,0,0,1,0.00,0.00
1,0.001000,1,1,1,1,0,0,1,0.20,0.00
1,0.001000,1,1,1,1,0,0,1,0.40,1689.49
1,0.001000,1,1,1,1,0,0,1,0.50,3831.36
1,0.001000,1,1,1,1,0,0,1,0.75,16123.20
1,0.001000,1,1,1,1,0,0,1,1.00,56116.76
1,0.001000,1,1,1,1,0,0,2,0.00,0.00
1,0.001000,1,1,1,1,0,0,2,0.20,0.00
1,0.001000,1,1,1,1,0,0,2,0.40,52311.70
1,0.001000,1,1,1,1,0,0,2,0.50,83118.14
1,0.001000,1,1,1,1,0,0,2,0.75,167065.09
1,0.001000,1,1,1,1,0,0,2,1.00,278596.16
1,0.001000,1,1,1,1,0,0,3,0.00,0.00
1,0.001000,1,1,1,1,0,0,3,0.20,0.00
1,0.001000,1,1,1,1,0,0,3,0.40,0.00
1,0.001000,1,1,1,1,0,0,3,0.50,6837.66
1,0.001000,1,1,1,1,0,0,3,0.75,19221.19
1,0.001000,1,1,1,1,0,0,3,1.00,59937.60
1,0.001000,1,1,1,1,0,0,4,0.00,0.00
1,0.001000,1,1,1,1,0,0,4,0.20,196.43
1,0.001000,1,1,1,1,0,0,4,0.40,2293.35
1,0.001000,1,1,1,1,0,0,4,0.50,3902.62
1,0.001000,1,1,1,1,0,0,4,0.75,6017.86
1,0.001000,1,1,1,1,0,0,4,1.00,8815.06
1,0.001000,1,1,1,1,0,0,5,0.00,0.00
1,0.001000,1,1,1,1,0,0,5,0.20,0.00
1,0.001000,1,1,1,1,0,0,5,0.40,0.00
1,0.001000,1,1,1,1,0,0,5,0.50,6958.55
1,0.001000,1,1,1,1,0,0,5,0.75,34518.61
1,0.001000,1,1,1,1,0,0,5,1.00,98289.95
1,0.001000,1,1,1,1,0,0,6,0.00,0.00
1,0.001000,1,1,1,1,0,0,6,0.20,0.00
1,0.001000,1,1,1,1,0,0,6,0.40,13383.72
1,0.001000,1,1,1,1,0,0,6,0.50,40945.73
1,0.001000,1,1,1,1,0,0,6,0.75,89008.89
1,0.001000,1,1,1,1,0,0,6,1.00,116145.12
1,0.001000,1,1,1,1,0,0,7,0.00,0.00
1,0.001000,1,1,1,1,0,0,7,0.20,0.00
1,0.001000,1,1,1,1,0,0,7,0.40,1050.03
1,0.001000,1,1,1,1,0,0,7,0.50,4501.07
1,0.001000,1,1,1,1,0,0,7,0.75,14829.55
1,0.001000,1,1,1,1,0,0,7,1.00,25363.47
1,0.001000,1,1,1,1,0,0,8,0.00,0.00
1,0.001000,1,1,1,1,0,0,8,0.20,0.00
1,0.001000,1,1,1,1,0,0,8,0.40,24855.20
1,0.001000,1,1,1,1,0,0,8,0.50,41465.82
1,0.001000,1,1,1,1,0,0,8,0.75,47270.07
1,0.001000,1,1,1,1,0,0,8,1.00,140098.00
1,0.001000,1,1,1,1,0,0,9,0.00,0.00
1,0.001000,1,1,1,1,0,0,9,0.20,0.00
1,0.001000,1,1,1,1,0,0,9,0.40,0.00
1,0.001000,1,1,1,1,0,0,9,0.50,9241.32
1,0.001000,1,1,1,1,0,0,9,0.75,65508.27
1,0.001000,1,1,1,1,0,0,9,1.00,200892.75
1,0.001000,1,1,1,1,0,0,10,0.00,0.00
1,0.001000,1,1,1,1,0,0,10,0.20,0.00
1,0.001000,1,1,1,1,0,0,10,0.40,8940.72
1,0.001000,1,1,1,1,0,0,10,0.50,17237.77
1,0.001000,1,1,1,1,0,0,10,0.75,108500.20
1,0.001000,1,1,1,1,0,0,10,1.00,240514.38
2,0.001000,2,2,1,1,0,0,1,0.00,0.00
2,0.001000,2,2,1,1,0,0,1,0.20,24828.10
2,0.001000,2,2,1,1,0,0,1,0.40,56757.50
2,0.001000,2,2,1,1,0,0,1,0.50,68225.68
2,0.001000,2,2,1,1,0,0,1,0.75,135071.22
2,0.001000,2,2,1,1,0,0,1,1.00,215459.34
2,0.001000,2,2,1,1,0,0,2,0.00,99032.53
2,0.001000,2,2,1,1,0,0,2,0.20,138150.47
2,0.001000,2,2,1,1,0,0,2,0.40,263781.38
2,0.001000,2,2,1,1,0,0,2,0.50,342549.97
2,0.001000,2,2,1,1,0,0,2,0.75,489866.50
2,0.001000,2,2,1,1,0,0,2,1.00,790000.00
2,0.001000,2,2,1,1,0,0,3,0.00,11680.03
2,0.001000,2,2,1,1,0,0,3,0.20,30591.31
2,0.001000,2,2,1,1,0,0,3,0.40,41233.22
2,0.001000,2,2,1,1,0,0,3,0.50,43858.21
2,0.001000,2,2,1,1,0,0,3,0.75,90223.47
2,0.001000,2,2,1,1,0,0,3,1.00,160000.00
2,0.001000,2,2,1,1,0,0,4,0.00,3393.87
2,0.001000,2,2,1,1,0,0,4,0.20,7508.09
2,0.001000,2,2,1,1,0,0,4,0.40,9507.96
2,0.001000,2,2,1,1,0,0,4,0.50,10691.73
2,0.001000,2,2,1,1,0,0,4,0.75,17324.73
2,0.001000,2,2,1,1,0,0,4,1.00,30000.00
2,0.001000,2,2,1,1,0,0,5,0.00,57068.70
2,0.001000,2,2,1,1,0,0,5,0.20,66899.17
2,0.001000,2,2,1,1,0,0,5,0.40,86102.50
2,0.001000,2,2,1,1,0,0,5,0.50,91307.97
2,0.001000,2,2,1,1,0,0,5,0.75,124352.64
2,0.001000,2,2,1,1,0,0,5,1.00,161985.67
2,0.001000,2,2,1,1,0,0,6,0.00,8442.36
2,0.001000,2,2,1,1,0,0,6,0.20,85203.82
2,0.001000,2,2,1,1,0,0,6,0.40,261616.31
2,0.001000,2,2,1,1,0,0,6,0.50,280002.06
2,0.001000,2,2,1,1,0,0,6,0.75,336415.53
2,0.001000,2,2,1,1,0,0,6,1.00,533498.31
2,0.001000,2,2,1,1,0,0,7,0.00,1415.33
2,0.001000,2,2,1,1,0,0,7,0.20,18815.44
2,0.001000,2,2,1,1,0,0,7,0.40,22075.17
2,0.001000,2,2,1,1,0,0,7,0.50,23709.85
2,0.001000,2,2,1,1,0,0,7,0.75,44970.73
2,0.001000,2,2,1,1,0,0,7,1.00,83648.98
2,0.001000,2,2,1,1,0,0,8,0.00,31291.77
2,0.001000,2,2,1,1,0,0,8,0.20,60892.29
2,0.001000,2,2,1,1,0,0,8,0.40,76266.23
2,0.001000,2,2,1,1,0,0,8,0.50,90828.73
2,0.001000,2,2,1,1,0,0,8,0.75,165614.36
