EventId,SummaryId,SampleType,EventRate,ChanceOfLoss,MeanLoss,SDLoss,MaxLoss,FootprintExposure,MeanImpactedExposure,MaxImpactedExposure
1,1,1,0.002000,0.000000,22616.000000,0.000000,220000.000000,220000.000000,220000.000000,220000.000000
1,1,2,0.002000,0.600000,11976.428711,18143.382812,220000.000000,220000.000000,132000.000000,220000.000000
1,2,1,0.002000,0.000000,81212.000000,0.000000,790000.000000,790000.000000,790000.000000,790000.000000
1,2,2,0.002000,0.700000,102521.585938,104209.359375,790000.000000,790000.000000,553000.000000,790000.000000
1,3,1,0.002000,0.000000,16448.000000,0.000000,160000.000000,160000.000000,160000.000000,160000.000000
1,3,2,0.002000,0.500000,13053.400391,18767.417969,160000.000000,160000.000000,80000.000000,160000.000000
1,4,1,0.002000,0.000000,3084.000000,0.000000,30000.000000,30000.000000,30000.000000,30000.000000
1,4,2,0.002000,0.800000,3775.277832,3231.707520,30000.000000,30000.000000,24000.000000,30000.000000
1,5,1,0.002000,0.000000,25700.000000,0.000000,250000.000000,250000.000000,250000.000000,250000.000000
1,5,2,0.002000,0.500000,26839.806641,38993.773438,250000.000000,250000.000000,125000.000000,250000.000000
1,6,1,0.002000,0.000000,71960.000000,0.000000,700000.000000,700000.000000,700000.000000,700000.000000
1,6,2,0.002000,0.600000,48528.773438,49206.414062,700000.000000,700000.000000,420000.000000,700000.000000
1,7,1,0.002000,0.000000,9252.000000,0.000000,90000.000000,90000.000000,90000.000000,90000.000000
1,7,2,0.002000,0.600000,8797.986328,10213.243164,90000.000000,90000.000000,54000.000000,90000.000000
1,8,1,0.002000,0.000000,31868.000000,0.000000,310000.000000,310000.000000,310000.000000,310000.000000
1,8,2,0.002000,0.600000,38181.023438,43755.316406,310000.000000,310000.000000,186000.000000,310000.000000
1,9,1,0.002000,0.000000,43176.000000,0.000000,420000.000000,420000.000000,420000.000000,420000.000000
1,9,2,0.002000,0.500000,49177.199219,71223.851562,420000.000000,420000.000000,210000.000000,420000.000000
1,10,1,0.002000,0.000000,44204.000000,0.000000,430000.000000,430000.000000,430000.000000,430000.000000
1,10,2,0.002000,0.600000,58827.351562,81276.093750,430000.000000,430000.000000,258000.000000,430000.000000
2,1,1,0.002000,0.000000,86152.000000,0.000000,220000.000000,220000.000000,220000.000000,220000.000000
2,1,2,0.002000,0.900000,87044.851562,78939.453125,220000.000000,220000.000000,198000.000000,220000.000000
2,2,1,0.002000,0.000000,309364.000000,0.000000,790000.000000,790000.000000,790000.000000,790000.000000
2,2,2,0.002000,1.000000,354540.625000,218441.671875,790000.000000,790000.000000,790000.000000,790000.000000
2,3,1,0.002000,0.000000,62656.000000,0.000000,160000.000000,160000.000000,160000.000000,160000.000000
2,3,2,0.002000,1.000000,65702.773438,47901.847656,160000.000000,160000.000000,160000.000000,160000.000000
2,4,1,0.002000,0.000000,11748.000000,0.000000,30000.000000,30000.000000,30000.000000,30000.000000
2,4,2,0.002000,1.000000,12700.940430,8050.692871,30000.000000,30000.000000,30000.000000,30000.000000
2,5,1,0.002000,0.000000,97900.000000,0.000000,250000.000000,250000.000000,250000.000000,250000.000000
2,5,2,0.002000,1.000000,100807.343750,36722.867188,250000.000000,250000.000000,250000.000000,250000.000000
2,6,1,0.002000,0.000000,274120.000000,0.000000,700000.000000,700000.000000,700000.000000,700000.000000
2,6,2,0.002000,1.000000,255772.468750,159240.109375,700000.000000,700000.000000,700000.000000,700000.000000
2,7,1,0.002000,0.000000,35244.000000,0.000000,90000.000000,90000.000000,90000.000000,90000.000000
2,7,2,0.002000,1.000000,34833.851562,27385.023438,90000.000000,90000.000000,90000.000000,90000.000000
2,8,1,0.002000,0.000000,121396.000000,0.000000,310000.000000,310000.000000,310000.000000,310000.000000
2,8,2,0.002000,1.000000,126509.765625,91677.953125,310000.000000,310000.000000,310000.000000,310000.000000
2,9,1,0.002000,0.000000,164472.000000,0.000000,420000.000000,420000.000000,420000.000000,420000.000000
2,9,2,0.002000,1.000000,152300.968750,109849.328125,420000.000000,420000.000000,420000.000000,420000.000000
2,10,1,0.002000,0.000000,168388.000000,0.000000,430000.000000,430000.000000,430000.000000,430000.000000
2,10,2,0.002000,1.000000,175070.843750,136001.828125,430000.000000,430000.000000,430000.000000,430000.000000
3,1,1,0.002000,0.000000,220000.000000,0.000000,220000.000000,220000.000000,220000.000000,220000.000000
3,1,2,0.002000,1.000000,220000.000000,0.000000,220000.000000,220000.000000,220000.000000,220000.000000
3,2,1,0.002000,0.000000,790000.000000,0.000000,790000.000000,790000.000000,790000.000000,790000.000000
3,2,2,0.002000,1.000000,790000.000000,0.000000,790000.000000,790000.000000,790000.000000,790000.000000
3,3,1,0.002000,0.000000,160000.000000,0.000000,160000.000000,160000.000000,160000.000000,160000.000000
3,3,2,0.002000,1.000000,160000.000000,0.000000,160000.000000,160000.000000,160000.000000,160000.000000
3,4,1,0.002000,0.000000,30000.000000,0.000000,30000.000000,30000.000000,30000.000000,30000.000000
3,4,2,0.002000,1.000000,30000.000000,0.000000,30000.000000,30000.000000,30000.000000,30000.000000
3,5,1,0.002000,0.000000,250000.000000,0.000000,250000.000000,250000.000000,250000.000000,250000.000000
3,5,2,0.002000,1.000000,250000.000000,0.000000,250000.000000,250000.000000,250000.000000,250000.000000
3,6,1,0.002000,0.000000,700000.000000,0.000000,700000.000000,700000.000000,700000.000000,700000.000000
3,6,2,0.002000,1.000000,700000.000000,0.000000,700000.000000,700000.000000,700000.000000,700000.000000
3,7,1,0.002000,0.000000,90000.000000,0.000000,90000.000000,90000.000000,90000.000000,90000.000000
3,7,2,0.002000,1.000000,90000.000000,0.000000,90000.000000,90000.000000,90000.000000,90000.000000
3,8,1,0.002000,0.000000,310000.000000,0.000000,310000.000000,310000.000000,310000.000000,310000.000000
3,8,2,0.002000,1.000000,310000.000000,0.000000,310000.000000,310000.000000,310000.000000,310000.000000
3,9,1,0.002000,0.000000,420000.000000,0.000000,420000.000000,420000.000000,420000.000000,420000.000000
3,9,2,0.002000,1.000000,420000.000000,0.000000,420000.000000,420000.000000,420000.000000,420000.000000
3,10,1,0.002000,0.000000,430000.000000,0.000000,430000.000000,430000.000000,430000.000000,430000.000000
3,10,2,0.002000,1.000000,430000.000000,0.000000,430000.000000,430000.000000,430000.000000,430000.000000
5,1,1,0.002000,0.000000,86152.000000,0.000000,220000.000000,220000.000000,220000.000000,220000.000000
5,1,2,0.002000,1.000000,82875.937500,50436.519531,220000.000000,220000.000000,220000.000000,220000.000000
5,2,1,0.002000,0.000000,309364.000000,0.000000,790000.000000,790000.000000,790000.000000,790000.000000
5,2,2,0.002000,1.000000,322453.406250,190506.265625,790000.000000,790000.000000,790000.000000,790000.000000
5,3,1,0.002000,0.000000,62656.000000,0.000000,160000.000000,160000.000000,160000.000000,160000.000000
5,3,2,0.002000,1.000000,65425.761719,32213.445312,160000.000000,160000.000000,160000.000000,160000.000000
5,4,1,0.002000,0.000000,11748.000000,0.000000,30000.000000,30000.000000,30000.000000,30000.000000
5,4,2,0.002000,1.000000,13008.880859,8222.491211,30000.000000,30000.000000,30000.000000,30000.000000
5,5,1,0.002000,0.000000,97900.000000,0.000000,250000.000000,250000.000000,250000.000000,250000.000000
5,5,2,0.002000,1.000000,101900.710938,58407.230469,250000.000000,250000.000000,250000.000000,250000.000000
5,6,1,0.002000,0.000000,274120.000000,0.000000,700000.000000,700000.000000,700000.000000,700000.000000
5,6,2,0.002000,1.000000,278239.812500,153177.406250,700000.000000,700000.000000,700000.000000,700000.000000
5,7,1,0.002000,0.000000,35244.000000,0.000000,90000.000000,90000.000000,90000.000000,90000.000000
5,7,2,0.002000,1.000000,35322.183594,17855.302734,90000.000000,90000.000000,90000.000000,90000.000000
5,8,1,0.002000,0.000000,121396.000000,0.000000,310000.000000,310000.000000,310000.000000,310000.000000
5,8,2,0.002000,1.000000,127153.937500,68819.085938,310000.000000,310000.000000,310000.000000,310000.000000
5,9,1,0.002000,0.000000,164472.000000,0.000000,420000.000000,420000.000000,420000.000000,420000.000000
5,9,2,0.002000,1.000000,166420.093750,89457.890625,420000.000000,420000.000000,420000.000000,420000.000000
5,10,1,0.002000,0.000000,168388.000000,0.000000,430000.000000,430000.000000,430000.000000,430000.000000
5,10,2,0.002000,1.000000,171977.093750,68252.234375,430000.000000,430000.000000,430000.000000,430000.000000
12,1,1,0.002000,0.000000,22616.000000,0.000000,220000.000000,220000.000000,220000.000000,220000.000000
12,1,2,0.002000,0.500000,16472.097656,24936.152344,220000.000000,220000.000000,110000.000000,220000.000000
12,2,1,0.002000,0.000000,81212.000000,0.000000,790000.000000,790000.000000,790000.000000,790000.000000
12,2,2,0.002000,0.600000,59740.800781,88908.046875,790000.000000,790000.000000,474000.000000,790000.000000
12,3,1,0.002000,0.000000,16448.000000,0.000000,160000.000000,160000.000000,160000.000000,160000.000000
12,3,2,0.002000,0.700000,20255.519531,23851.197266,160000.000000,160000.000000,112000.000000,160000.000000
12,4,1,0.002000,0.000000,3084.000000,0.000000,30000.000000,30000.000000,30000.000000,30000.000000
12,4,2,0.002000,0.600000,3093.513184,3921.970459,30000.000000,30000.000000,18000.000000,30000.000000
12,5,1,0.002000,0.000000,25700.000000,0.000000,250000.000000,250000.000000,250000.000000,250000.000000
12,5,2,0.002000,0.500000,27249.718750,38088.824219,250000.000000,250000.000000,125000.000000,250000.000000
12,6,1,0.002000,0.000000,71960.000000,0.000000,700000.000000,700000.000000,700000.000000,700000.000000
12,6,2,0.002000,0.500000,35537.773438,43981.328125,700000.000000,700000.000000,350000.000000,700000.000000
12,7,1,0.002000,0.000000,9252.000000,0.000000,90000.000000,90000.000000,90000.000000,90000.000000
12,7,2,0.002000,0.500000,9219.556641,15122.432617,90000.000000,90000.000000,45000.000000,90000.000000
12,8,1,0.002000,0.000000,31868.000000,0.000000,310000.000000,310000.000000,310000.000000,310000.000000
12,8,2,0.002000,0.700000,33744.695312,49149.332031,310000.000000,310000.000000,217000.000000,310000.000000
12,9,1,0.002000,0.000000,43176.000000,0.000000,420000.000000,420000.000000,420000.000000,420000.000000
12,9,2,0.002000,0.700000,39421.117188,38417.375000,420000.000000,420000.000000,294000.000000,420000.000000
12,10,1,0.002000,0.000000,44204.000000,0.000000,430000.000000,430000.000000,430000.000000,430000.000000
12,10,2,0.002000,0.700000,38067.132812,44620.378906,430000.000000,430000.000000,301000.000000,430000.000000
17,1,1,0.002000,0.000000,22616.000000,0.000000,220000.000000,220000.000000,220000.000000,220000.000000
17,1,2,0.002000,0.800000,12130.215820,12386.019531,220000.000000,220000.000000,176000.000000,220000.000000
17,2,1,0.002000,0.000000,81212.000000,0.000000,790000.000000,790000.000000,790000.000000,790000.000000
17,2,2,0.002000,0.600000,61853.886719,111512.328125,790000.000000,790000.000000,474000.000000,790000.000000
17,3,1,0.002000,0.000000,16448.000000,0.000000,160000.000000,160000.000000,160000.000000,160000.000000
17,3,2,0.002000,0.500000,16655.515625,26477.164062,160000.000000,160000.000000,80000.000000,160000.000000
17,4,1,0.002000,0.000000,3084.000000,0.000000,30000.000000,30000.000000,30000.000000,30000.000000
17,4,2,0.002000,0.500000,3270.153564,4976.956543,30000.000000,30000.000000,15000.000000,30000.000000
17,5,1,0.002000,0.000000,25700.000000,0.000000,250000.000000,250000.000000,250000.000000,250000.000000
17,5,2,0.002000,0.600000,27988.833984,31269.466797,250000.000000,250000.000000,150000.000000,250000.000000
17,6,1,0.002000,0.000000,71960.000000,0.000000,700000.000000,700000.000000,700000.000000,700000.000000
17,6,2,0.002000,0.500000,69746.984375,95058.453125,700000.000000,700000.000000,350000.000000,700000.000000
17,7,1,0.002000,0.000000,9252.000000,0.000000,90000.000000,90000.000000,90000.000000,90000.000000
