EventId,SummaryId,SampleId,Loss,ImpactedExposure
1,1,-1,22616.00,220000.00
1,1,1,9579.54,220000.00
1,1,4,18304.42,220000.00
1,1,5,4846.92,220000.00
1,1,8,56116.76,220000.00
1,1,9,2815.81,220000.00
1,1,10,28100.85,220000.00
1,2,-1,81212.00,790000.00
1,2,1,278596.16,790000.00
1,2,3,75217.84,790000.00
1,2,4,244995.61,790000.00
1,2,5,91018.44,790000.00
1,2,6,17952.46,790000.00
1,2,8,142022.84,790000.00
1,2,10,175412.50,790000.00
1,3,-1,16448.00,160000.00
1,3,1,20331.29,160000.00
1,3,2,15890.89,160000.00
1,3,6,13675.33,160000.00
1,3,8,59937.60,160000.00
1,3,10,20698.90,160000.00
1,4,-1,3084.00,30000.00
1,4,1,2577.14,30000.00
1,4,2,6040.50,30000.00
1,4,3,1867.66,30000.00
1,4,4,5228.10,30000.00
1,4,5,5949.91,30000.00
1,4,6,245.53,30000.00
1,4,8,8815.06,30000.00
1,4,10,7028.87,30000.00
1,5,-1,25700.00,250000.00
1,5,1,95084.03,250000.00
1,5,4,22623.23,250000.00
1,5,5,13917.10,250000.00
1,5,8,98289.95,250000.00
1,5,10,38483.73,250000.00
1,6,-1,71960.00,700000.00
1,6,1,109868.62,700000.00
1,6,2,22306.18,700000.00
1,6,4,88055.97,700000.00
1,6,5,89326.53,700000.00
1,6,7,59585.28,700000.00
1,6,8,116145.12,700000.00
1,7,-1,9252.00,90000.00
1,7,1,23965.92,90000.00
1,7,4,25363.47,90000.00
1,7,5,14813.40,90000.00
1,7,8,7252.09,90000.00
1,7,9,1750.05,90000.00
1,7,10,14834.93,90000.00
1,8,-1,31868.00,310000.00
1,8,1,140098.00,310000.00
1,8,3,42412.47,310000.00
1,8,4,67478.84,310000.00
1,8,5,48889.27,310000.00
1,8,8,41506.34,310000.00
1,8,10,41425.31,310000.00
1,9,-1,43176.00,420000.00
1,9,1,60300.71,420000.00
1,9,3,200892.75,420000.00
1,9,4,67244.12,420000.00
1,9,8,144851.83,420000.00
1,9,10,18482.63,420000.00
1,10,-1,44204.00,430000.00
1,10,1,240514.38,430000.00
1,10,2,124473.34,430000.00
1,10,3,128229.45,430000.00
1,10,4,19574.35,430000.00
1,10,5,60580.76,430000.00
1,10,8,14901.19,430000.00
2,1,-1,86152.00,220000.00
2,1,1,44657.25,220000.00
2,1,2,155508.55,220000.00
2,1,3,73759.21,220000.00
2,1,4,208736.09,220000.00
2,1,5,71627.04,220000.00
2,1,7,6455.53,220000.00
2,1,8,29421.24,220000.00
2,1,9,64824.32,220000.00
2,1,10,215459.34,220000.00
2,2,-1,309364.00,790000.00
2,2,1,392876.75,790000.00
2,2,2,495438.81,790000.00
2,2,3,221118.56,790000.00
2,2,4,790000.00,790000.00
2,2,5,99032.53,790000.00
2,2,6,292223.19,790000.00
2,2,7,136166.22,790000.00
2,2,8,473149.56,790000.00
2,2,9,138646.53,790000.00
2,2,10,506754.34,790000.00
2,3,-1,62656.00,160000.00
2,3,1,31529.89,160000.00
2,3,2,81203.02,160000.00
2,3,3,39717.23,160000.00
2,3,4,160000.00,160000.00
2,3,5,26837.01,160000.00
2,3,6,45472.55,160000.00
2,3,7,11680.03,160000.00
2,3,8,93230.29,160000.00
2,3,9,42243.88,160000.00
2,3,10,125113.86,160000.00
2,4,-1,11748.00,30000.00
2,4,1,3887.59,30000.00
2,4,2,18707.61,30000.00
2,4,3,13176.11,30000.00
2,4,4,30000.00,30000.00
2,4,5,3393.87,30000.00
2,4,6,8911.63,30000.00
2,4,7,8413.21,30000.00
2,4,8,11477.94,30000.00
2,4,9,9905.51,30000.00
2,4,10,19135.93,30000.00
2,5,-1,97900.00,250000.00
2,5,1,129655.90,250000.00
2,5,2,108442.88,250000.00
2,5,3,86257.21,250000.00
2,5,4,161985.67,250000.00
2,5,5,57068.70,250000.00
2,5,6,62659.12,250000.00
2,5,7,67959.19,250000.00
2,5,8,151815.53,250000.00
2,5,9,85870.43,250000.00
2,5,10,96358.73,250000.00
2,6,-1,274120.00,700000.00
2,6,1,85529.97,700000.00
2,6,2,237216.23,700000.00
2,6,3,311214.19,700000.00
2,6,4,533498.31,700000.00
2,6,5,8442.36,700000.00
2,6,6,277883.00,700000.00
2,6,7,83899.23,700000.00
2,6,8,344815.97,700000.00
2,6,9,282121.12,700000.00
2,6,10,393104.31,700000.00
2,7,-1,35244.00,90000.00
2,7,1,24054.62,90000.00
2,7,2,79346.81,90000.00
2,7,3,1415.33,90000.00
2,7,4,83648.98,90000.00
2,7,5,18053.53,90000.00
2,7,6,20140.28,90000.00
2,7,7,19005.92,90000.00
2,7,8,29020.39,90000.00
2,7,9,23365.09,90000.00
2,7,10,50287.52,90000.00
2,8,-1,121396.00,310000.00
2,8,1,81552.05,310000.00
2,8,2,134120.25,310000.00
2,8,3,176112.39,310000.00
2,8,4,310000.00,310000.00
2,8,5,31291.77,310000.00
2,8,6,68337.48,310000.00
2,8,7,100105.41,310000.00
2,8,8,52518.86,310000.00
2,8,9,62985.65,310000.00
2,8,10,248073.72,310000.00
2,9,-1,164472.00,420000.00
2,9,1,134742.16,420000.00
2,9,2,200394.16,420000.00
2,9,3,115240.16,420000.00
2,9,4,420000.00,420000.00
2,9,5,25300.32,420000.00
2,9,6,112833.79,420000.00
2,9,7,118414.59,420000.00
2,9,8,69905.52,420000.00
